REF,Page,Title,Highlighted words,Color,Status
1,Index,Là où les autres refusent d'intervenir,refusent,Orange,Active
2,Index,Ce que nous faisons mieux que quiconque,"""mieux que quiconque""",Orange,Active
3,Index,Fonte cassée ou qui fuit,cassée fuit,Turquoise,Active
4,Index,Urgence · Intervention sous 4h,urgence  4h,Turquoise,Active
5,Index,Inspection caméra & diagnostic,inspection diagnostic,Turquoise,Active
6,Index,9 plombiers sur 10 refusent la fonte,9 refusent la fonte,Orange,Active
7,Index,Qui fait appel à SOS FONTE ?,SOS FONTE,Orange,Active
8,Index,Syndics & gestionnaires,Syndics  gestionnaires,Turquoise,Active
9,Index,Propriétaires & CS,CS,Turquoise,Active
10,Index,Particuliers en urgence,urgence,Turquoise,Active
11,Index,Chantiers récents,Chantiers,Orange,Active
12,Index,Ce que disent nos clients,disent clients,Orange,Active
13,Index,Un contrat partenaire pour les gestionnaires IDF,partenaire IDF,Orange,Active
14,Index,Paris & Île-de-France,Paris île-de-France,Orange,Active
15,Urgence,Fuite sur canalisation fonte ? On intervient maintenant.,Fuite  maintenant,Orange,Active
16,Urgence,Toutes les urgences fonte,urgences,Orange,Active
17,Urgence,"3 étapes, une seule journée",une seule journée,Orange,Active
18,Urgence,Vous nous contactez,contactez,Orange,Active
19,Urgence,On se déplace,déplace,Orange,Active
20,Urgence,On répare,répare,Orange,Active
21,Urgence,Être rappelé sous 30 min,30 min,Orange,Active
22,Services,Tous nos services sur réseaux fonte,services  fonte,Orange,Active
23,Services,Remplacement de colonnes EU/EV,remplacement,Orange,Active
24,Services,Recherche de fuite & réparation,recherche  reparation,Orange,Active
25,Services,Diagnostic & inspection réseau,Diagnostic réseau,Orange,Active
26,Services,Contrats de maintenance syndics,Contrat maintenance,Orange,Active
27,Services,Interventions en accès difficile,accès difficile,Orange,Active
28,Services,Chemisage — réhabilitation sans démolition,Chemisage sans démolition,Orange,Active
29,Services,Curage haute pression - protocole fonte,Curage fonte,Orange,Active
30,Services,Un devis en moins de 24h,moins de 24h,Orange,Active
31,Syndics,Le spécialiste fonte dont vos copropriétés ont besoin,spécialiste fonte  besoin,Orange,Active
32,Syndics,"Syndics, copropriétés et établissements institutionnels",copropriétés,Orange,Active
33,Syndics,Copropriétés & syndics,syndics,Turquoise,Active
34,Syndics,Établissements de santé,santé,Turquoise,Active
35,Syndics,Tertiaire & institutionnel,tertiaire,Turquoise,Active
36,Syndics,Contrat de partenariat annuel,Contrat annuel,Orange,Active
37,Syndics,Inspection annuelle,inspection,Orange,Active
38,Syndics,Urgences prioritaires,Urgences,Orange,Active
39,Syndics,Tarifs bloqués,Tarifs,Orange,Active
40,Syndics,Demander un rendez-vous découverte,rendez-vous,Orange,Active
41,Réalisations,Réalisations récentes,Réalisations,Orange,Active
42,Réalisations,Colonne EU complète — immeuble 1910,Colonne EU 1910,Orange,Active
43,Réalisations,Fuite fonte cave — intervention J+1,Fuite J+1,Orange,Active
44,Réalisations,Inspection réseau — rapport assurance,rapport assurance,Orange,Active
45,Réalisations,Maintenance annuelle — 4 immeubles,4 immeubles,Orange,Active
46,Réalisations,Reprise jonction fonte/PVC,jonction fonte/PVC,Orange,Active
47,Réalisations,Colonne EV — immeuble haussmannien,Colonne EV haussmannien,Orange,Active
48,Réalisations,Un chantier similaire au vôtre ?,similaire au vôtre,Orange,Active
49,Contact,On vous répond sous 2 heures,répond 2 heures,Orange,Active
50,Contact,Coordonnées directes,directes,Orange,Active
51,Contact,Zone d'intervention,Zone,Orange,Active
52,Contact,Formulaire de contact,Formulaire,Orange,Active
53,La fonte,Les canalisations en fonte : tout comprendre,Fonte comprendre,Orange,Active
54,La fonte,Pourquoi la fonte est encore là,Pourquoi encore là,Orange,Active
55,La fonte,"SME, SMU, SMU+ : quelle différence ?",SMU+ différence ?,Orange,Active
56,La fonte,80 à 120 ans — si bien entretenu,80 à 120 ans,Orange,Active
57,La fonte,Signes de vieillissement à surveiller,Signes à surveiller,Orange,Active
58,La fonte,Fonte vs PVC,Fonte vs PVC,Orange,Active
59,La fonte,Ce que la fonte fait mieux,fait mieux,Orange,Active
60,La fonte,Les limites de la fonte,limites,Orange,Active
61,La fonte,"Quand remplacer, quand réhabiliter",remplacer réhabiliter,Orange,Active
62,La fonte,Réparation ciblée,Réparation,Turquoise,Active
63,La fonte,Ce que les généralistes ne savent pas sur la fonte,ne savent pas,Orange,Active
64,La fonte,Le curage haute pression mal dosé casse la fonte,curage casse fonte,Turquoise,Active
65,La fonte,La fonte ductile (SMU+) n'est pas la même que la fonte grise,SMU+ fonte grise,Turquoise,Active
66,La fonte,L'adaptation fonte/PVC est le point faible numéro 1,Point faible numéro 1,Turquoise,Active
67,La fonte,Une analyse de l'état du réseau est recommandée avant tout devis sérieux,Avant tout devis serieux,Turquoise,Active
68,La fonte,Votre immeuble a des canalisations en fonte ?,canalisation en fonte,Orange,Active
69,Partenaires,"Nos partenaires : une exigence, pas un secret",Nos partenaires,Orange,Active
70,Partenaires,"Chef d'orchestre, pas simple exécutant",Chef d'orchestre,Orange,Active
71,Partenaires,Cordistes spécialisés,Cordistes,Orange,Active
72,Partenaires,Maçons & carreleurs,Maçons,Orange,Active
73,Partenaires,Spécialistes chemisage,chemisage,Orange,Active
74,Partenaires,Spécialistes curage & dégorgement,curage & dégorgement,Orange,Active
75,Partenaires,Les spécialistes que nous mobilisons,Les spécialistes,Orange,Active
76,Partenaires,Vos garanties restent entières,Vos garanties,Orange,Active
77,Partenaires,"Vous êtes cordiste, maçon, spécialiste chemisage ou curage ?",Vous êtes,Orange,Active
78,La fonte,Chemisage,Chemisage,Turquoise,Active
79,La fonte,Remplacement,Remplacement,Turquoise,Active
